2022-08-25 20:54:16.415  INFO [authorizationService,,] 9924 --- [restartedMain] c.c.AuthorizationMicroserviceApplication : No active profile set, falling back to default profiles: default
2022-08-25 20:54:16.643  INFO [authorizationService,,] 9924 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-08-25 20:54:16.643  INFO [authorizationService,,] 9924 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-08-25 20:54:19.214  INFO [authorizationService,,] 9924 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2022-08-25 20:54:19.302  INFO [authorizationService,,] 9924 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 71 ms. Found 1 JPA repository interfaces.
2022-08-25 20:54:20.117  INFO [authorizationService,,] 9924 --- [restartedMain] o.s.cloud.context.scope.GenericScope     : BeanFactory id=42971748-5b02-3186-83df-d82d61b4e2f8
2022-08-25 20:54:22.495  INFO [authorizationService,,] 9924 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8081 (http)
2022-08-25 20:54:22.529  INFO [authorizationService,,] 9924 --- [restartedMain] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2022-08-25 20:54:22.530  INFO [authorizationService,,] 9924 --- [restartedMain] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.50]
2022-08-25 20:54:22.731  INFO [authorizationService,,] 9924 --- [restartedMain] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2022-08-25 20:54:22.734  INFO [authorizationService,,] 9924 --- [restartedMain] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 6087 ms
2022-08-25 20:54:22.881  INFO [authorizationService,,] 9924 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2022-08-25 20:54:23.249  INFO [authorizationService,,] 9924 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2022-08-25 20:54:23.261  INFO [authorizationService,,] 9924 --- [restartedMain] o.s.b.a.h2.H2ConsoleAutoConfiguration    : H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:testDB'
2022-08-25 20:54:24.101  INFO [authorizationService,,] 9924 --- [restartedMain] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
2022-08-25 20:54:24.303  INFO [authorizationService,,] 9924 --- [restartedMain] org.hibernate.Version                    : HHH000412: Hibernate ORM core version 5.4.32.Final
2022-08-25 20:54:24.797  INFO [authorizationService,,] 9924 --- [restartedMain] o.hibernate.annotations.common.Version   : HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2022-08-25 20:54:25.050  INFO [authorizationService,,] 9924 --- [restartedMain] org.hibernate.dialect.Dialect            : HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2022-08-25 20:54:26.054  INFO [authorizationService,,] 9924 --- [restartedMain] o.h.e.t.j.p.i.JtaPlatformInitiator       : HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2022-08-25 20:54:26.074  INFO [authorizationService,,] 9924 --- [restartedMain] j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
2022-08-25 20:54:27.479  INFO [authorizationService,,] 9924 --- [restartedMain] o.s.b.d.a.OptionalLiveReloadServer       : LiveReload server is running on port 35729
2022-08-25 20:54:28.229  WARN [authorizationService,,] 9924 --- [restartedMain] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2022-08-25 20:54:30.421  INFO [authorizationService,,] 9924 --- [restartedMain] o.s.s.web.DefaultSecurityFilterChain     : Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@30c8b622, org.springframework.security.web.context.SecurityContextPersistenceFilter@3bda91c9, org.springframework.security.web.header.HeaderWriterFilter@134c57, org.springframework.security.web.authentication.logout.LogoutFilter@76110bcc, com.cognizant.filter.JwtFilter@189d89b, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@7173c180, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@3d41a818, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@6d895413, org.springframework.security.web.session.SessionManagementFilter@3eeb0221, org.springframework.security.web.access.ExceptionTranslationFilter@165e626f, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@78077f0b]
2022-08-25 20:54:32.277  INFO [authorizationService,,] 9924 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 8081 (http) with context path ''
2022-08-25 20:54:32.640  INFO [authorizationService,,] 9924 --- [restartedMain] d.s.w.p.DocumentationPluginsBootstrapper : Context refreshed
2022-08-25 20:54:32.674  INFO [authorizationService,,] 9924 --- [restartedMain] d.s.w.p.DocumentationPluginsBootstrapper : Found 1 custom documentation plugin(s)
2022-08-25 20:54:32.704  INFO [authorizationService,,] 9924 --- [restartedMain] s.d.s.w.s.ApiListingReferenceScanner     : Scanning for api listing references
2022-08-25 20:54:33.210  INFO [authorizationService,,] 9924 --- [restartedMain] c.c.AuthorizationMicroserviceApplication : Started AuthorizationMicroserviceApplication in 18.243 seconds (JVM running for 19.466)
2022-08-25 20:55:53.786  INFO [authorizationService,,] 9924 --- [http-nio-8081-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-08-25 20:55:53.786  INFO [authorizationService,,] 9924 --- [http-nio-8081-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2022-08-25 20:55:53.791  INFO [authorizationService,,] 9924 --- [http-nio-8081-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 2 ms
2022-08-25 20:55:54.052  INFO [authorizationService,e9f9d36cbba06c8e,362cf953e881d795] 9924 --- [http-nio-8081-exec-1] c.c.controller.AuthorizationController   : STARTED - generateToken
2022-08-25 20:55:54.053  INFO [authorizationService,e9f9d36cbba06c8e,362cf953e881d795] 9924 --- [http-nio-8081-exec-1] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-08-25 20:55:54.282  INFO [authorizationService,e9f9d36cbba06c8e,362cf953e881d795] 9924 --- [http-nio-8081-exec-1] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-08-25 20:55:54.287  INFO [authorizationService,e9f9d36cbba06c8e,362cf953e881d795] 9924 --- [http-nio-8081-exec-1] c.c.controller.AuthorizationController   : END - generateToken
